1741282648.807233,0,0,39.44444444444444,-30.0,Unknown
1741282648.9615,3,2,41.69642857142857,-29.71875,Dead
1741282649.0509975,16,9,42.17391304347825,-28.5,Alive
1741282649.147307,50,31,43.13543599257885,-25.3125,Alive
1741282649.2293365,117,71,43.19385593220339,-19.03125,Alive
1741282649.3318434,205,126,45.12372634643376,-10.78125,Alive
1741282652.1324835,303,181,41.61417322834646,-1.59375,Alive
1741282652.1957762,380,223,42.539370078740156,5.625,Alive
1741282652.2541838,430,248,46.338582677165356,10.3125,Alive
1741282652.3311868,457,261,49.52083333333333,12.84375,Alive
1741282652.4077747,466,265,50.02092050209206,13.6875,Alive
1741282652.4673154,461,265,53.15555555555556,13.21875,Alive
1741282652.529977,447,260,52.62114537444934,11.90625,Alive
1741282652.5915291,431,253,52.53303964757709,10.40625,Alive
1741282652.6564975,417,245,53.18385650224215,9.09375,Alive
1741282652.7238717,401,239,54.83720930232558,7.59375,Alive
1741282652.8035288,390,232,52.387387387387385,6.5625,Alive
1741282652.9661007,379,227,54.80769230769231,5.53125,Alive
1741282653.054765,373,221,50.426008968609864,4.96875,Alive
1741282653.1274343,367,214,49.25110132158591,4.40625,Alive
1741282653.2078078,363,210,49.37777777777778,4.03125,Alive
1741282653.2839322,358,205,48.79385964912281,3.5625,Alive
1741282653.364097,352,201,50.40909090909091,3.0,Alive
1741282653.445241,349,197,49.04867256637168,2.71875,Alive
1741282653.5214622,349,195,49.50892857142857,2.71875,Alive
1741282653.6040788,348,195,52.91866028708134,2.625,Alive
1741282653.690614,346,193,49.81981981981982,2.4375,Alive
1741282653.7749574,346,194,51.175115207373274,2.4375,Alive
1741282653.852059,346,196,50.40909090909091,2.4375,Alive
1741282653.9439478,345,196,51.30232558139535,2.34375,Alive
1741282654.031133,344,195,48.82743362831859,2.25,Alive
1741282654.109984,342,196,50.182648401826484,2.0625,Alive
1741282654.195766,340,196,49.34977578475336,1.875,Alive
1741282654.2808838,332,198,49.48198198198198,1.125,Alive
1741282654.3601263,325,200,49.84090909090909,0.46875,Alive
1741282654.4493039,314,202,46.16182572614108,-0.5625,Alive
1741282654.5422351,307,206,50.730593607305934,-1.21875,Alive
1741282654.6229672,303,210,51.84579439252336,-1.59375,Alive
1741282654.7092683,304,209,49.030837004405285,-1.5,Alive
1741282654.7991056,306,209,49.29515418502203,-1.3125,Alive
1741282654.887586,314,209,48.73913043478261,-0.5625,Alive
1741282654.9759588,320,209,49.3640350877193,0.0,Alive
1741282655.0644217,327,207,47.24999999999999,0.65625,Alive
1741282655.1522815,331,207,50.06607929515418,1.03125,Alive
1741282655.2560437,336,210,51.03139013452914,1.5,Alive
1741282655.343529,341,211,48.66952789699571,1.96875,Alive
1741282655.7151163,355,208,46.987704918032776,3.28125,Alive
1741282655.8169913,364,206,46.74698795180722,4.125,Alive
1741282657.231301,386,199,41.60278745644599,6.1875,Alive
1741282661.1003132,379,197,49.71887550200803,5.53125,Alive
1741282661.1485827,373,196,49.899598393574294,4.96875,Alive
1741282661.1920896,368,195,50.34136546184739,4.5,Alive
1741282661.2395287,363,195,50.86345381526105,4.03125,Alive
1741282664.7905755,335,194,53.93617021276595,1.40625,Alive
1741282664.8549428,314,193,53.74468085106384,-0.5625,Alive
1741282664.9198892,300,193,53.446808510638306,-1.875,Alive
1741282664.9730022,298,195,53.160173160173166,-2.0625,Alive
1741282665.024668,298,197,52.4891774891775,-2.0625,Alive
1741282665.2064486,310,197,52.057522123893804,-0.9375,Alive
1741282665.2708302,319,197,51.54867256637168,-0.09375,Alive
1741282665.3295493,327,197,51.03982300884955,0.65625,Alive
1741282665.3943505,336,199,52.305936073059364,1.5,Alive
1741282665.4565237,343,200,51.94063926940639,2.15625,Alive
1741282665.520319,349,199,49.73684210526316,2.71875,Alive
1741282665.5916412,348,200,54.20289855072464,2.625,Alive
1741282665.644682,347,200,53.6231884057971,2.53125,Alive
1741282665.7093427,346,201,53.04347826086958,2.4375,Alive
1741282668.6517334,339,204,44.26767676767677,1.78125,Alive
1741282668.7391691,331,208,41.191588785046726,1.03125,Alive
1741282668.8160808,324,210,40.36363636363637,0.375,Alive
1741282668.9020452,318,211,41.83098591549295,-0.1875,Alive
1741282668.9907067,315,212,42.99559471365639,-0.46875,Alive
1741282669.0704427,313,212,48.617511520737324,-0.65625,Alive
1741282669.1587029,313,211,47.995495495495504,-0.65625,Alive
1741282669.239282,312,210,48.05803571428571,-0.75,Alive
1741282669.31427,313,209,48.325892857142854,-0.65625,Alive
1741282669.3924565,314,209,49.3212669683258,-0.5625,Alive
1741282669.4781916,315,209,50.45871559633027,-0.46875,Alive
1741282669.5515845,316,208,49.932126696832576,-0.375,Alive
1741282669.63673,317,208,49.55156950672646,-0.28125,Alive
1741282669.7219138,317,209,50.59360730593607,-0.28125,Alive
1741282669.8063657,318,208,49.7972972972973,-0.1875,Alive
1741282669.889688,318,207,50.944700460829495,-0.1875,Alive
1741282669.9668243,319,207,49.2,-0.09375,Alive
1741282670.0502777,319,206,49.22222222222222,-0.09375,Alive
1741282670.1251714,320,205,51.08796296296296,0.0,Alive
1741282670.2816505,319,205,49.932126696832576,-0.09375,Alive
1741282670.4376569,320,207,49.77477477477478,0.0,Alive
1741282670.5179145,321,208,51.08796296296296,0.09375,Alive
1741282670.5984726,321,209,50.31963470319635,0.09375,Alive
1741282670.6737506,321,209,50.1590909090909,0.09375,Alive
1741282670.7590635,321,210,49.044444444444444,0.09375,Alive
1741282670.8340743,321,209,51.093023255813954,0.09375,Alive
1741282670.9141412,323,207,51.502347417840376,0.28125,Alive
1741282670.9991658,325,206,51.16822429906542,0.46875,Alive
1741282671.1564698,326,206,49.95412844036697,0.5625,Alive
1741282671.2416089,327,204,49.45454545454545,0.65625,Alive
1741282671.3111956,326,205,50.370370370370374,0.5625,Alive
1741282671.393594,325,205,50.30092592592593,0.46875,Alive
1741282671.4746962,325,205,48.986486486486484,0.46875,Alive
1741282671.545845,326,206,52.33009708737863,0.5625,Alive
1741282671.6289332,327,206,51.43540669856459,0.65625,Alive
1741282671.780758,328,206,50.660377358490564,0.75,Alive
1741282671.8601923,330,205,52.586206896551715,0.9375,Alive
1741282671.9423668,333,204,51.30434782608697,1.21875,Dead
1741282673.2091205,337,204,44.12442396313363,1.59375,Dead
1741282673.2938125,339,203,47.104072398190056,1.78125,Dead
1741282673.3759546,342,203,48.24884792626728,2.0625,Dead
1741282673.4574203,343,202,48.95348837209303,2.15625,Dead
1741282673.5520792,343,202,49.18604651162791,2.15625,Dead
1741282673.6316173,342,202,49.232558139534895,2.0625,Dead
